"sampleFile","Sample","Total.Reads","Off.target.Reads","Primer.Only.Reads","Primer.Probe.Reads","Off.target.Proportion","Primer.Only.Proportion","Primer.Probe.Proportion","lociSet","GenotypeRate","Heterozygosity","conScore","sampleID","index_combo","pcr1Plate","pcr1Row","pcr1Col","animalID","sampleType","captureDate","captureYear","groupName","animalName","species","sex"
"tamRun3-422.fastq","tamRun3-422",104708,69474,9779,25455,0.66,0.09,0.24,"SIMP",0.705882352941177,0.320855614973262,0.466666666666667,"tamRun3-422","S504-N711","7","F",11,"288","blood","06/27/2019","2019","OrangeEmps","OBO2","SIMP","M"
"tamRun3-423.fastq","tamRun3-423",68984,43570,5782,19632,0.63,0.08,0.28,"SIMP",0.6524064171123,0.27807486631016,0.5,"tamRun3-423","S504-N719","7","G",11,"186","blood","06/30/2018","2018","WhiteEmps","WBR","SIMP","M"
"tamRun3-424.fastq","tamRun3-424",136,107,14,15,0.79,0.1,0.11,"LWED",0,0,NA,"tamRun3-424","S504-N726","7","H",11,"52","blood","07/15/2013","2013","Royals","LPL","LWED","F"
"tamRun3-425.fastq","tamRun3-425",125700,75426,9900,40374,0.6,0.08,0.32,"SIMP",0.850267379679144,0.491978609625668,0.489130434782609,"tamRun3-425","S501-N706","7","A",12,"154","blood","06/22/2019","2019","IC","GBO","SIMP","M"
"tamRun3-426.fastq","tamRun3-426",138,95,12,31,0.69,0.09,0.22,"SIMP",0,0,NA,"tamRun3-426","S501-N712","7","B",12,"168","blood","06/28/2016","2016","Ji","RPY","SIMP","F"
"tamRun3-427.fastq","tamRun3-427",123568,74552,9309,39707,0.6,0.08,0.32,"SIMP",0.796791443850267,0.491978609625668,0.532608695652174,"tamRun3-427","S501-N720","7","C",12,"92","blood","06/19/2015","2015","OrangeEmps","OPY","SIMP","F"
"tamRun3-428.fastq","tamRun3-428",40886,25381,4775,10730,0.62,0.12,0.26,"SIMP",0.754010695187166,0.347593582887701,0.476923076923077,"tamRun3-428","S501-N727","7","D",12,"295","blood","07/07/2019","2019","MI4","LPS","SIMP","F"
"tamRun3-429.fastq","tamRun3-429",94,65,13,16,0.69,0.14,0.17,"SIMP",0,0,NA,"tamRun3-429","S504-N706","7","E",12,"218","blood","06/07/2018","2018","BritishArmy","WBO2","SIMP","M"
"tamRun3-430.fastq","tamRun3-430",92442,68523,5978,17941,0.74,0.06,0.19,"LWED",0.708108108108108,0.556756756756757,0.553398058252427,"tamRun3-430","S504-N712","7","F",12,"278","blood","06/18/2019","2019","StarrySky","SBY2","LWED","M"
"tamRun3-431.fastq","tamRun3-431",106,79,7,20,0.75,0.07,0.19,"SIMP",0,0,NA,"tamRun3-431","S504-N720","7","G",12,"18","blood","06/28/2013","2013","Bees","YBO","SIMP","M"
"tamRun3-432.fastq","tamRun3-432",36820,27182,3784,5854,0.74,0.1,0.16,"LWED",0.540540540540541,0.227027027027027,0.30952380952381,"tamRun3-432","S504-N727","7","H",12,"142","blood","07/04/2018","2018","Illest","YBO","LWED","M"
"tamRun3-433.fastq","tamRun3-433",14,10,3,1,0.71,0.21,0.07,"SIMP",0,0,NA,"tamRun3-433","S520-N708","8",NA,1,"134","blood","06/13/2014","2014","MI4","LBO","SIMP","M"
"tamRun3-434.fastq","tamRun3-434",6,3,3,0,0.5,0.5,0,"LWED",0,0,NA,"tamRun3-434","S520-N709","8",NA,2,"62","blood","06/25/2015","2015","Illest","BLBR","LWED","M"
"tamRun3-435.fastq","tamRun3-435",10,9,0,1,0.9,0,0.1,"LWED",0,0,NA,"tamRun3-435","S521-N708","8",NA,3,"138","blood","06/15/2019","2019","Ghosts","LBG","LWED","M"
"tamRun3-436.fastq","tamRun3-436",6,3,1,2,0.5,0.17,0.33,"SIMP",0,0,NA,"tamRun3-436","S521-N709","8",NA,4,"221","blood","06/27/2019","2019","OrangeEmps","OPY2","SIMP","F"
"tamRun3-437.fastq","tamRun3-437",12,7,0,5,0.58,0,0.42,"SIMP",0,0,NA,"tamRun3-437","S522-N708","8",NA,5,"293","blood","07/01/2019","2019","Ji","RPG2","SIMP","F"
"tamRun3-438.fastq","tamRun3-438",6,4,0,2,0.67,0,0.33,"LWED",0,0,NA,"tamRun3-438","S522-N709","8",NA,6,"59","blood","07/29/2013","2013","Bloopers","BLBY3","LWED","M"
