"source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","transfer_volume"
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H7",129.7
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A8",89.2
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B8",112.2
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C8",100.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D8",120
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E8",130.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F8",134.1
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"G8",130.3
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"H8",131
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"A9",98.5
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"B9",119.4
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"C9",117.1
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"D9",119.8
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"E9",136.3
"nest_12_reservoir_15ml",2,"A1",1,"vwr_96_wellplate_1000ul",3,"F9",124
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A1",85.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B1",91.4
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C1",99.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D1",104.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E1",111.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F1",93.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G1",126.1
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H1",131.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A2",102.3
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B2",114.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C2",118.5
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D2",110.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E2",118.7
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"F2",134.8
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"G2",121.6
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"H2",129.4
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"A3",114.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"B3",114.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"C3",126.2
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"D3",126.9
"nest_12_reservoir_15ml",5,"A2",1,"vwr_96_wellplate_1000ul",6,"E3",109.3
