"ot2set","reagent","source_labware","source_slot","source_well","asp_height","dest_labware","dest_slot","dest_well","transfer_volume"
"set1.1_xtnPlate4_e1","hair_p4.A1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"A1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A1",4
"set1.1_xtnPlate4_e1","hair_p4.B1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"B1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B1",4
"set1.1_xtnPlate4_e1","hair_p4.D1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"D1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D1",4
"set1.1_xtnPlate4_e1","hair_p4.E1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"E1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E1",4
"set1.1_xtnPlate4_e1","hair_p4.F1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"F1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"F1",4
"set1.1_xtnPlate4_e1","hair_p4.G1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"G1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"G1",4
"set1.1_xtnPlate4_e1","hair_p4.H1_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"H1",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"H1",4
"set1.1_xtnPlate4_e1","hair_p4.A2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"A2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A2",4
"set1.1_xtnPlate4_e1","hair_p4.B2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"B2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B2",4
"set1.1_xtnPlate4_e1","hair_p4.C2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"C2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"C2",4
"set1.1_xtnPlate4_e1","hair_p4.D2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"D2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D2",4
"set1.1_xtnPlate4_e1","hair_p4.E2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"E2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E2",4
"set1.1_xtnPlate4_e1","hair_p4.F2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"F2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"F2",4
"set1.1_xtnPlate4_e1","hair_p4.G2_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"G2",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"G2",4
"set1.1_xtnPlate4_e1","hair_p4.A3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"A3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A3",4
"set1.1_xtnPlate4_e1","hair_p4.B3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"B3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B3",4
"set1.1_xtnPlate4_e1","hair_p4.C3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"C3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"C3",4
"set1.1_xtnPlate4_e1","hair_p4.D3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"D3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D3",4
"set1.1_xtnPlate4_e1","hair_p4.E3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"E3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E3",4
"set1.1_xtnPlate4_e1","hair_p4.G3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"G3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"G3",4
"set1.1_xtnPlate4_e1","hair_p4.H3_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"H3",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"H3",4
"set1.1_xtnPlate4_e1","hair_p4.A4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"A4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"A4",4
"set1.1_xtnPlate4_e1","hair_p4.B4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"B4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"B4",4
"set1.1_xtnPlate4_e1","xtnNeg_p4.C4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"C4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"C4",4
"set1.1_xtnPlate4_e1","hair_p4.D4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"D4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D4",4
"set1.1_xtnPlate4_e1","hair_p4.E4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"E4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E4",4
"set1.1_xtnPlate4_e1","hair_p4.F4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"F4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"F4",4
"set1.1_xtnPlate4_e1","hair_p4.G4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"G4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"G4",4
"set1.1_xtnPlate4_e1","hair_p4.H4_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"H4",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"H4",4
"set1.1_xtnPlate4_e1","hair_p4.C5_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"C5",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"C5",4
"set1.1_xtnPlate4_e1","hair_p4.D5_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"D5",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"D5",4
"set1.1_xtnPlate4_e1","hair_p4.E5_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"E5",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"E5",4
"set1.1_xtnPlate4_e1","hair_p4.F5_e1","denvillewithaxygenbase_96_wellplate_200ul",1,"F5",1,"denvillewithaxygenbase_96_wellplate_200ul",2,"F5",4
